County,Year,Agency_Count,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Violent_Offenses,NonViolent_Offenses,Total_Crime,Population
Anderson County,2015,3,9,38,195,319,749,75,242,1143,1407,57560
Anderson County,2016,3,2,44,237,259,485,94,283,838,1145,57250
Anderson County,2017,3,2,25,153,278,536,64,180,878,1078,57569
Anderson County,2018,3,1,8,96,198,531,62,105,791,907,57491
Anderson County,2019,3,2,23,100,249,514,82,125,845,984,57657
Anderson County,2020,3,4,15,109,208,456,70,128,734,869,57474
Andrews County,2015,2,0,18,64,60,313,51,82,424,518,18248
Andrews County,2016,2,1,21,61,78,286,36,83,400,485,18785
Andrews County,2017,2,0,8,54,57,185,25,62,267,330,18285
Andrews County,2018,2,0,10,61,60,187,33,71,280,352,18130
Andrews County,2019,2,0,14,68,69,190,23,82,282,367,18473
Andrews County,2020,2,2,13,51,46,330,32,66,408,476,19130
Angelina County,2015,5,4,24,172,594,1741,103,200,2438,2688,88151
Angelina County,2016,5,1,32,181,532,1523,140,214,2195,2445,88262
Angelina County,2017,5,6,25,180,475,1663,161,211,2299,2548,87845
Angelina County,2018,6,1,45,187,474,1420,150,233,2044,2297,87687
Angelina County,2019,6,2,56,199,505,1590,183,257,2278,2575,86568
Angelina County,2020,6,4,55,292,1122,1483,200,351,2805,3211,86399
Aransas County,2015,4,2,21,138,415,938,51,161,1404,1572,33232
Aransas County,2016,4,3,23,146,417,939,55,172,1411,1599,33526
Aransas County,2017,4,1,19,116,353,779,62,136,1194,1336,33764
Aransas County,2018,4,2,23,114,324,771,73,139,1168,1315,33339
Aransas County,2019,4,0,25,110,282,728,65,135,1075,1222,31112
Aransas County,2020,4,4,19,110,297,671,60,133,1028,1169,31073
Archer County,2015,1,0,0,7,11,37,7,7,55,62,5281
Archer County,2016,1,0,1,9,9,28,6,10,43,54,5182
Archer County,2017,1,0,0,10,3,14,2,10,19,29,5207
Archer County,2018,1,0,3,1,5,6,1,4,12,16,1742
Archer County,2019,1,0,3,3,2,0,0,6,2,8,1732
Archer County,2020,1,0,0,1,4,10,2,1,16,17,1687
Armstrong County,2015,1,0,0,1,11,11,2,1,24,25,1973
Armstrong County,2016,1,0,0,3,4,5,1,3,10,13,1951
Armstrong County,2017,1,0,0,4,9,10,5,4,24,29,1870
Armstrong County,2018,1,0,4,3,6,9,2,7,17,24,1871
Armstrong County,2019,1,0,0,1,10,5,3,1,18,19,1879
Armstrong County,2020,1,0,0,0,0,3,1,0,4,4,1880
Atascosa County,2015,5,6,7,101,333,1052,111,114,1496,1615,49177
Atascosa County,2016,5,3,8,81,319,915,92,92,1326,1435,49596
Atascosa County,2017,5,0,19,111,257,694,104,130,1055,1201,50006
Atascosa County,2018,5,4,15,99,235,774,112,118,1121,1248,50059
Atascosa County,2019,6,2,9,68,221,675,125,79,1021,1112,51329
Atascosa County,2020,6,5,5,82,187,652,114,92,953,1056,52332
Austin County,2015,5,0,8,53,121,283,13,61,417,482,29354
Austin County,2016,5,0,6,43,136,239,31,49,406,466,29718
Austin County,2017,5,0,11,34,98,183,45,45,326,376,29963
Austin County,2018,5,0,11,32,82,138,29,43,249,295,29912
Austin County,2019,5,0,5,38,80,147,29,43,256,302,30009
Austin County,2020,5,3,6,33,72,133,31,42,236,281,30121
Bailey County,2015,2,0,4,14,46,104,14,18,164,184,6865
Bailey County,2016,2,0,0,11,28,85,5,11,118,129,7202
Bailey County,2017,2,0,0,7,31,53,6,7,90,98,7179
Bailey County,2018,2,1,1,14,15,53,5,16,73,89,7047
Bailey County,2019,2,0,1,6,20,35,2,7,57,64,6968
Bailey County,2020,2,0,2,1,8,23,9,3,40,43,6960
Bandera County,2015,1,0,8,13,102,194,16,21,312,333,21024
Bandera County,2016,1,0,11,26,75,146,25,37,246,284,21352
Bandera County,2017,1,0,16,14,117,136,26,30,279,310,21966
Bandera County,2018,1,1,24,7,108,134,42,32,284,318,22557
Bandera County,2019,1,0,2,16,95,143,27,18,265,284,22980
Bandera County,2020,1,0,4,13,61,122,20,17,203,220,23336
Bastrop County,2015,4,4,50,185,387,1081,111,239,1579,1851,80182
Bastrop County,2016,5,9,58,256,360,1211,149,323,1720,2095,82589
Bastrop County,2017,5,2,37,178,319,951,106,217,1376,1632,85153
Bastrop County,2018,5,5,55,147,317,834,102,207,1253,1488,87175
Bastrop County,2019,5,6,57,179,271,794,137,242,1202,1474,89191
Bastrop County,2020,5,1,38,199,182,685,135,238,1002,1273,91221
Baylor County,2015,2,0,2,7,35,53,5,9,93,102,3570
Baylor County,2016,2,0,1,7,19,39,2,8,60,68,3588
Baylor County,2017,2,0,0,12,10,17,4,12,31,44,3690
Baylor County,2018,2,0,2,5,5,28,2,7,35,42,3554
Baylor County,2019,2,0,1,4,6,18,4,5,28,33,3545
Baylor County,2020,2,0,2,7,4,15,9,9,28,37,3476
Bee County,2015,2,3,0,61,132,435,8,64,575,644,33180
Bee County,2016,2,2,5,94,124,337,9,101,470,576,32978
Bee County,2017,2,1,2,69,165,342,26,72,533,608,32862
Bee County,2018,2,2,6,55,136,389,19,63,544,615,32573
Bee County,2019,2,2,4,40,164,338,20,46,522,573,32474
Bee County,2020,2,0,2,64,151,391,28,66,570,642,32534
Bell County,2015,13,23,264,720,2192,6709,469,1007,9370,10627,332946
Bell County,2016,13,27,232,834,2104,6062,653,1093,8819,10277,337383
Bell County,2017,12,30,285,830,2065,5802,933,1145,8800,10362,343716
Bell County,2018,12,25,261,511,1553,5357,543,797,7453,8494,351009
Bell County,2019,13,19,239,570,1383,4954,618,828,6955,7976,357960
Bell County,2020,13,43,215,1067,1248,4735,953,1325,6936,8471,366533
Bexar County,2015,28,112,1214,6009,13694,64295,6861,7335,84850,94344,1897498
Bexar County,2016,27,173,1376,7758,14350,67718,8145,9307,90213,101965,1932033
Bexar County,2017,27,143,1478,7745,13667,63406,7777,9366,84850,96772,1966517
Bexar County,2018,27,121,1575,7156,10659,53394,6857,8852,70910,81697,1992664
Bexar County,2019,27,122,1821,8138,9706,58699,8624,10081,77029,89232,2010637
Bexar County,2020,29,154,1444,9018,9701,48931,8049,10616,66681,79617,2034193
Blanco County,2015,3,0,1,8,35,56,13,9,104,113,10913
Blanco County,2016,3,1,5,10,20,46,9,16,75,92,11074
Blanco County,2017,3,0,2,12,40,52,12,14,104,119,11535
Blanco County,2018,3,0,1,13,14,33,3,14,50,64,11763
Blanco County,2019,3,0,6,12,23,25,12,18,60,79,11786
Blanco County,2020,3,1,1,27,30,45,7,29,82,112,12061
Borden County,2015,1,0,0,2,3,3,2,2,8,10,656
Borden County,2016,1,0,0,4,3,3,1,4,7,11,647
Borden County,2017,1,0,0,2,2,14,2,2,18,20,631
Borden County,2018,1,0,0,0,4,10,1,0,15,15,675
Borden County,2019,1,0,1,0,5,4,1,1,10,11,645
Borden County,2020,1,0,1,0,6,5,1,1,12,13,653
Bosque County,2015,4,0,0,9,38,65,2,9,105,114,17714
Bosque County,2016,2,0,0,6,71,72,2,6,145,152,15194
Bosque County,2017,2,0,0,8,41,72,5,8,118,126,15404
Bosque County,2018,2,0,0,4,26,45,5,4,76,80,15631
Bosque County,2019,3,0,3,24,45,42,11,27,98,125,17136
Bosque County,2020,4,1,0,8,41,53,6,9,100,109,18682
Bowie County,2015,7,4,44,347,579,2118,201,395,2898,3354,93635
Bowie County,2016,7,5,51,336,581,1974,195,392,2750,3193,93256
Bowie County,2017,7,6,67,456,547,2018,202,529,2767,3399,93960
Bowie County,2018,8,5,50,202,526,1944,212,257,2682,2993,93946
Bowie County,2019,8,4,66,294,501,1810,130,364,2441,2853,93943
Bowie County,2020,8,3,70,266,373,1146,193,339,1712,2093,92995
Brazoria County,2015,21,4,114,352,1149,4475,359,470,5983,6555,350739
Brazoria County,2016,22,8,110,395,996,4443,404,513,5843,6511,358003
Brazoria County,2017,22,10,113,437,947,4111,370,560,5428,6079,367132
Brazoria County,2018,21,4,131,377,800,4241,390,512,5431,6050,373587
Brazoria County,2019,23,10,123,400,1002,4759,472,533,6233,6899,381928
Brazoria County,2020,22,13,118,456,708,4302,505,587,5515,6210,386756
Brazos County,2015,4,9,131,447,969,4628,244,587,5841,6533,213128
Brazos County,2016,4,5,129,474,972,4354,288,608,5614,6373,218486
Brazos County,2017,4,6,124,399,752,4011,267,529,5030,5679,224600
Brazos County,2018,4,4,150,395,784,4087,330,549,5201,5833,226375
Brazos County,2019,4,5,177,373,841,3501,355,555,4697,5359,229532
Brazos County,2020,4,9,184,468,675,3494,402,661,4571,5312,232487
Brewster County,2015,3,1,2,8,35,88,7,11,130,141,9168
Brewster County,2016,3,1,5,8,39,76,2,14,117,131,9093
Brewster County,2017,3,1,3,19,44,49,10,23,103,126,9179
Brewster County,2018,3,1,4,19,44,37,1,24,82,107,9323
Brewster County,2019,3,1,2,16,31,15,6,19,52,71,9210
Brewster County,2020,3,0,2,8,38,21,9,10,68,78,9166
Briscoe County,2015,1,0,1,1,2,6,1,2,9,11,1518
Briscoe County,2016,1,0,0,0,5,7,1,0,13,13,1477
Briscoe County,2017,1,0,1,0,4,2,2,1,8,9,1448
Briscoe County,2018,1,0,0,1,1,6,0,1,7,8,1510
Briscoe County,2019,1,0,0,0,2,1,1,0,4,4,1493
Briscoe County,2020,1,0,0,1,0,3,3,1,6,7,1532
Brooks County,2015,2,1,0,12,46,82,0,13,128,141,7206
Brooks County,2016,2,0,1,14,56,95,0,15,151,166,7215
Brooks County,2017,2,0,0,15,70,116,0,15,186,203,7208
Brooks County,2018,2,0,0,12,79,64,0,12,143,155,7219
Brooks County,2019,2,0,0,15,48,62,1,15,111,127,7057
Brooks County,2020,2,0,0,32,47,59,2,32,108,140,7056
Brown County,2015,4,1,27,92,222,711,26,120,959,1097,37625
Brown County,2016,4,3,16,102,173,620,42,121,835,959,37740
Brown County,2017,4,1,25,87,161,701,34,113,896,1020,38257
Brown County,2018,4,1,33,110,164,552,40,144,756,904,37943
Brown County,2019,4,0,33,88,191,649,59,121,899,1027,37667
Brown County,2020,4,0,37,94,211,613,64,131,888,1032,37712
Burleson County,2015,3,1,13,22,62,122,13,36,197,234,17302
Burleson County,2016,2,0,9,20,65,83,8,29,156,189,16074
Burleson County,2017,2,0,2,28,46,107,9,30,162,198,16404
Burleson County,2018,3,0,6,27,60,109,11,33,180,215,18074
Burleson County,2019,3,1,7,16,44,97,4,24,145,172,18422
Burleson County,2020,3,0,6,31,57,120,15,37,192,229,18520
Burnet County,2015,6,1,23,76,159,467,27,100,653,757,47160
Burnet County,2016,6,0,28,82,191,526,57,110,774,887,47500
Burnet County,2017,5,1,38,73,168,412,48,112,628,746,47121
Burnet County,2018,6,0,29,74,132,400,51,103,583,689,49180
Burnet County,2019,6,0,30,85,164,399,57,115,620,743,49857
Burnet County,2020,6,3,27,85,112,330,57,115,499,619,50632
Caldwell County,2015,4,0,7,77,196,435,48,84,679,768,39860
Caldwell County,2016,4,2,11,69,161,379,31,82,571,667,40424
Caldwell County,2017,4,2,9,74,103,415,50,85,568,666,41211
Caldwell County,2018,4,1,6,65,102,257,28,72,387,469,42396
Caldwell County,2019,3,0,13,61,67,260,23,74,350,427,41896
Caldwell County,2020,4,1,17,59,68,234,41,77,343,427,43708
Calhoun County,2015,3,5,11,90,151,227,24,106,402,511,19772
Calhoun County,2016,3,1,19,101,199,361,26,121,586,712,19728
Calhoun County,2017,3,1,20,85,104,205,33,106,342,451,19804
Calhoun County,2018,3,1,14,64,94,153,27,79,274,357,19525
Calhoun County,2019,3,0,16,57,80,175,14,73,269,345,19260
Calhoun County,2020,3,1,13,33,57,119,25,47,201,250,19036
Callahan County,2015,3,2,1,13,69,89,15,16,173,192,13541
Callahan County,2016,3,0,1,7,45,94,17,8,156,165,13525
Callahan County,2017,3,0,4,17,48,71,13,21,132,154,13856
Callahan County,2018,3,0,1,7,68,61,14,8,143,152,13971
Callahan County,2019,3,0,1,8,58,55,14,9,127,136,13968
Callahan County,2020,3,0,0,19,38,56,18,19,112,131,13944
Cameron County,2015,20,7,188,816,2409,10986,309,1011,13704,14976,424559
Cameron County,2016,20,8,201,1174,2116,9655,331,1383,12102,13709,423223
Cameron County,2017,21,8,226,897,1790,8987,351,1131,11128,12451,424158
Cameron County,2018,21,5,176,917,1699,8855,348,1098,10902,12218,424884
Cameron County,2019,21,4,239,1119,1681,8695,359,1362,10735,12335,423309
Cameron County,2020,20,13,181,1077,1162,6615,389,1271,8166,9683,423478
Camp County,2015,2,3,4,32,96,156,39,39,291,333,12704
Camp County,2016,2,1,3,23,55,154,17,27,226,257,12699
Camp County,2017,2,2,3,14,79,152,18,19,249,272,12930
Camp County,2018,2,0,4,21,55,100,20,25,175,200,12886
Camp County,2019,2,0,6,22,38,82,12,28,132,161,13033
Camp County,2020,2,0,7,37,34,71,18,44,123,170,13129
Carson County,2015,2,0,0,25,19,29,5,25,53,78,5990
Carson County,2016,2,0,0,29,13,36,4,29,53,82,5914
Carson County,2017,2,0,2,17,10,24,2,19,36,55,6034
Carson County,2018,2,1,2,19,18,26,7,22,51,73,5998
Carson County,2019,2,1,2,23,21,23,6,26,50,79,5948
Carson County,2020,2,0,0,14,10,14,5,14,29,43,5881
Cass County,2015,5,1,22,64,261,392,33,87,686,781,29894
Cass County,2016,5,1,18,86,232,357,46,105,635,747,29809
Cass County,2017,5,0,8,55,197,288,34,63,519,590,29942
Cass County,2018,5,0,12,74,151,258,42,86,451,543,29476
Cass County,2019,5,1,19,70,110,281,27,90,418,514,29496
Cass County,2020,5,1,7,36,133,220,47,44,400,446,29491
Castro County,2015,2,0,0,4,63,109,12,4,184,190,7719
Castro County,2016,2,0,0,6,59,100,5,6,164,171,7547
Castro County,2017,2,0,0,5,46,80,13,5,139,144,7591
Castro County,2018,2,1,3,11,25,51,12,15,88,103,7783
Castro County,2019,2,0,4,25,24,39,10,29,73,102,7562
Castro County,2020,2,0,0,4,10,26,8,4,44,48,7442
Chambers County,2015,3,3,12,95,144,591,112,110,847,971,34701
Chambers County,2016,3,3,19,109,149,621,76,131,846,995,35244
Chambers County,2017,3,0,26,63,147,551,17,89,715,820,36489
Chambers County,2018,3,3,6,44,126,513,85,53,724,787,37983
Chambers County,2019,3,1,13,67,145,529,105,81,779,869,38973
Chambers County,2020,3,4,16,106,117,509,98,126,724,858,40518
Cherokee County,2015,3,3,35,139,282,673,74,177,1029,1223,50770
Cherokee County,2016,3,3,27,139,319,664,64,169,1047,1235,51260
Cherokee County,2017,4,1,25,166,260,606,73,192,939,1144,51619
Cherokee County,2018,4,2,22,143,276,545,73,167,894,1071,52155
Cherokee County,2019,4,3,11,95,241,460,88,109,789,904,52337
Cherokee County,2020,3,1,15,89,217,460,96,105,773,881,52381
Childress County,2015,1,0,0,2,4,4,3,2,11,13,1026
Childress County,2016,1,0,0,0,6,3,1,0,10,10,976
Childress County,2017,1,0,0,3,4,8,0,3,12,15,952
Childress County,2018,1,0,0,0,6,3,1,0,10,10,979
Childress County,2019,2,0,1,4,14,25,4,5,43,48,7273
Childress County,2020,2,0,2,7,11,23,7,9,41,50,7308
Clay County,2015,1,0,3,13,40,76,20,16,136,152,10303
Clay County,2016,1,3,3,8,24,63,13,14,100,114,10256
Clay County,2017,1,0,5,9,43,75,19,14,137,153,10095
Clay County,2018,1,0,9,11,65,40,19,20,124,149,10348
Clay County,2019,1,0,8,8,33,49,21,16,103,119,10356
Clay County,2020,1,0,3,9,34,49,9,12,92,105,10406
Cochran County,2015,1,0,0,5,39,59,5,5,103,109,2892
Cochran County,2016,1,0,4,3,20,50,6,7,76,83,2909
Cochran County,2017,1,0,0,5,0,1,2,5,3,8,2839
Cochran County,2018,1,0,0,0,2,0,0,0,2,2,2803
Cochran County,2019,1,0,0,3,12,15,0,3,27,30,2782
Cochran County,2020,1,0,0,3,14,22,9,3,45,48,2812
Coke County,2015,1,0,0,1,8,2,5,1,15,16,3244
Coke County,2016,1,0,0,1,14,12,3,1,29,30,3212
Coke County,2017,1,0,0,1,0,1,1,1,2,3,3252
Coke County,2018,1,1,0,0,1,0,0,1,1,2,3295
Coke County,2019,1,0,0,2,10,0,4,2,14,16,3356
Coke County,2020,1,0,0,3,9,7,2,3,18,21,3383
Coleman County,2015,2,0,0,5,54,44,5,5,103,109,5419
Coleman County,2016,2,0,4,8,48,25,4,12,77,89,5356
Coleman County,2017,2,0,0,22,24,20,1,22,45,68,5425
Coleman County,2018,2,0,5,14,32,7,3,19,42,62,5403
Coleman County,2019,2,1,6,20,22,15,2,27,39,66,5373
Coleman County,2020,2,0,2,18,8,7,5,20,20,42,5228
Collin County,2015,17,10,272,655,1936,10258,623,937,12817,13987,886551
Collin County,2016,18,14,224,596,1967,10395,735,834,13097,14163,915044
Collin County,2017,18,29,272,655,1854,10566,725,956,13145,14366,945773
Collin County,2018,18,11,320,677,1567,10236,849,1008,12652,13921,980246
Collin County,2019,17,7,294,635,1457,9728,881,936,12066,13246,1016192
Collin County,2020,17,9,333,715,1394,9340,939,1057,11673,12953,1055292
Collingsworth County,2015,1,0,0,8,10,7,0,8,17,25,3016
Collingsworth County,2016,1,0,0,9,6,5,1,9,12,21,3033
Collingsworth County,2018,1,0,0,0,0,0,0,0,0,0,2970
Collingsworth County,2020,1,0,0,0,0,0,0,0,0,0,2896
Colorado County,2015,4,0,5,38,73,185,24,43,282,329,20725
